country,infectious_number
Moldova,1002.0084449999999
Kazakhstan,1007.05122
Ireland,1020.4299880000001
Estonia,1086.710939
Bosnia and Herzegovina,1139.1880939999999
Morocco,1190.148401
Slovenia,1226.911708
Ethiopia,1246.5823369999998
Croatia,1332.248167
Denmark,1518.887492
Lithuania,1565.816364
Pakistan,1627.576865
Greece,1675.516574
Nepal,1865.5326899999998
Slovakia,1948.643009
Paraguay,2031.268045
Chile,2046.403995
Bulgaria,2118.380883
Georgia,2141.203099
Switzerland,2534.533409
South Africa,2744.693462
Austria,2886.5428829999996
Lebanon,2892.168285
Uruguay,3025.193885
Israel,3238.537589
Sweden,3288.440654
Philippines,3443.549028
Serbia,3537.0947060000003
Belgium,4244.268156
Japan,4561.518232
Peru,4584.668225
Romania,4918.350475
Hungary,5118.001840999999
Portugal,5852.486083
Netherlands,6377.847334
Mexico,6428.512931
Colombia,8625.950608
Argentina,9176.028537999999
Iran,9218.002617
Spain,9781.531934
Ukraine,9870.229034
Russia,11973.20369
Poland,13550.422980000001
France,14518.77495
Germany,15701.6637
Turkey,18829.79806
Italy,19199.14901
India,39775.61832
Brazil,71586.8609
United States,93486.60586
